year,4_id,public4_enrollment,private4_enrollment,public4_tuition,private4_tuition
1986,1,4247025,1871402,4138,10039
1987,2,4377535,1892478,4403,10659
1988,3,4487659,1953734,4678,11474
1989,4,4604082,1987560,4975,12284
1990,5,4713121,2005902,5243,13237
1991,6,4743142,2044245,5693,14258
1992,7,4731783,2083568,6020,15009
1993,8,4674765,2083633,6365,15904
1994,9,4636762,2096237,6670,16602
1995,10,4626228,2113393,7014,17612
1996,11,4621245,2142923,7334,18442
1997,12,4646793,2198225,7673,19070
1998,13,4704249,2243374,8027,19929
1999,14,4776442,2309747,8274,20737
2000,15,4842261,2365028,8653,21856
2001,16,4989220,2475861,9196,22896
2002,17,5162656,2565223,9787,23787
2003,18,5314218,2672284,10674,25070
2004,19,5407236,2827824,11426,26260
2005,20,5513730,2962408,12108,27333
2006,21,5622745,3043543,12799,28919
2007,22,5811918,3172686,13429,30226
2008,23,5950019,3423626,14212,31232
2009,24,6284806,3656792,15036,31847
2010,25,6484937,3913893,15919,32517
2011,26,6626741,3939412,16787,33677
2012,27,6686035,3881763,17475,35071
2013,28,6721881,3783779,18100,36599
2014,29,6846981,3732477,18632,37988
2015,30,6926519,3620693,19204,39534
2016,31,7301070,3481161,19488,41465
2017,32,7395134,3425131,20049,43131
2018,33,7502622,3362405,20598,44662
