emp_status,<hs,hs_diploma,some_college,associate,bachelor,adv_degree,total
Civilian noninstitutional population,21627,62460,34711,22802,50049,29778,221427
Civilian labor force,9976,36162,21592,15829,36672,22217,142448
Participation rate,46,58,62,69,73,75,384
Employed,9441,34837,20882,15400,35850,21805,138215
Employment-population ratio,44,56,60,68,72,73,372
Unemployed,535,1324,709,429,822,412,4231
Unemployment rate,5,4,3,3,2,2,19
