emp_status,<hs,hs_diploma,some_college,associate,bachelor,adv_degree,total
Civilian noninstitutional population,10795,31030,18154,12780,26404,15886,115049
Civilian labor force,3619,14884,10089,8232,18104,11571,66499
Participation rate,34,48,56,64,69,73,343
Employed,3394,14325,9722,7994,17699,11352,64486
Employment-population ratio,31,46,54,63,67,72,332
Unemployed,226,559,367,237,405,219,2013
Unemployment rate,6,4,4,3,2,2,21
