emp_status,<hs,hs_diploma,some_college,associate,bachelor,adv_degree,total
Civilian noninstitutional population,3062,9055,5167,2885,4648,2652,27469
Civilian labor force,1142,5337,3438,2121,3600,2067,17705
Participation rate,37,59,67,74,77,78,392
Employed,1029,5007,3275,2041,3488,2019,16859
Employment-population ratio,34,55,63,71,75,76,374
Unemployed,113,330,163,80,112,48,846
Unemployment rate,10,6,5,4,3,2,30
