emp_status,<hs,hs_diploma,some_college,associate,bachelor,adv_degree,total
Civilian noninstitutional population,10832,31429,16557,10022,23646,13892,106378
Civilian labor force,6356,21277,11503,7597,18567,10646,75946
Participation rate,59,68,70,76,79,77,427
Employed,6047,20512,11161,7406,18151,10454,73731
Employment-population ratio,56,65,67,74,77,75,414
Unemployed,309,765,342,191,416,193,2216
Unemployment rate,5,4,3,3,2,2,18
