emp_status,<hs,hs_diploma,some_college,associate,bachelor,adv_degree,total
Civilian noninstitutional population,1255,2421,1146,956,4722,3521,14021
Civilian labor force,483,1411,754,670,3391,2811,9520
Participation rate,38,58,66,70,72,80,384
Employed,468,1384,734,653,3306,2753,9298
Employment-population ratio,37,57,64,68,70,78,375
Unemployed,15,27,20,17,85,58,222
Unemployment rate,3,2,3,3,3,2,15
