emp_status,<hs,hs_diploma,some_college,associate,bachelor,adv_degree,total
Civilian noninstitutional population,16426,48922,27043,18194,39511,23057,173153
Civilian labor force,7906,28081,16474,12500,28742,16907,110610
Participation rate,48,57,61,69,73,73,381
Employed,7519,27183,15992,12190,28139,16613,107636
Employment-population ratio,46,56,59,67,71,72,371
Unemployed,387,898,483,310,603,294,2975
Unemployment rate,5,3,3,3,2,2,17
